id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4440026.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	50909	4
4440036.3	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	94915	0
4440037.3	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	188445	0
4440038.3	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	283390	0
4440039.3	marine habitat	marine habitat	marine habitat	water	Palmyra Atoll	351205	1
4440040.3	marine habitat	marine habitat	marine habitat	water	Palmyra Atoll	358983	8
4440041.3	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	227542	0
4440051.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	838932	44
4440052.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	340098	20
4440053.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	810301	3607
4440054.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	810891	634
4440055.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	51498	20
4440056.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	60311	5
4440059.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	66066	10
4440060.4	marine habitat	marine habitat	marine habitat	unknown	Rio Mesquites	124694	0
4440061.3	marine habitat	marine habitat	marine habitat	unknown	Highborne Cay Island	257573	11
4440062.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	47139	0
4440063.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	53750	1
4440064.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	60111	6
4440065.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	61476	2
4440066.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	82442	9
4440067.3	marine habitat	marine habitat	marine habitat	unknown	Pozas Azules II	326146	11
4440090.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	111431	0
4440102.3	marine habitat	marine habitat	marine habitat	water	Tampa Bay, CA	280019	0
4440144.4	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	4645	3
4440145.4	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	47587	1
4440163.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	136115	1
4440164.6	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	96201	0
4440165.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	162871	0
4440166.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	116192	0
4440212.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	209073	0
4440213.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	134915	1
4440275.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	344216	0
4440276.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	304020	1
4440279.3	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	290844	0
4440280.3	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	380355	6
4440281.3	mine drainage	mine drainage	mine drainage	sediment	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	334386	2
4440282.3	mine drainage	mine drainage	mine drainage	sediment	Soudan Underground Mine, on the south shore of Lake Vermilion, MN	388627	15
4440283.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Urbana, IL	310801	219
4440284.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Urbana, IL	254712	166
4440285.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Urbana, IL	27476	33
4440286.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Urbana, IL	22821	22
4440304.3	marine habitat	marine habitat	marine habitat	water	Gulf of Mexico	263908	10
4440305.3	marine habitat	marine habitat	marine habitat	water	Strait of Georgia and adjacent inlets, Barclay Sound	416456	1
4440306.3	marine habitat	marine habitat	marine habitat	water	the Arctic Ocean, the Strait of Georgia,	688590	13
4440319.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Bocas del Toro	316279	3
4440320.3	marine habitat	marine habitat	marine habitat	unknown	Pozas Azules II	302987	0
4440321.3	marine habitat	marine habitat	marine habitat	unknown	Rio Mesquites	328656	0
4440322.3	marine habitat	marine habitat	marine habitat	water	Sargasso Sea, Hydrostation S	399343	0
4440323.3	marine habitat	marine habitat	marine habitat	unknown	Highborne Cay Island	150223	0
4440324.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	49074	1
4440325.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	35053	0
4440327.3	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	Salton Sea, California	55787	0
4440328.3	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	Salton Sea, California	29970	0
4440329.3	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	unknown	Salton Sea, California	178407	0
4440330.3	sediment	sediment	sediment	sediment	Skan Bay, Alaska	31375	0
4440358.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	41461	6
4440359.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	29104	6
4440360.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	50313	2
4440361.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	40480	4
4440362.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	44246	2
4440363.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	33773	1
4440364.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	54848	0
4440365.3	marine habitat	marine habitat	marine habitat	water	Sapelo Island, GA	12446	0
4440370.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	35680	40
4440371.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	50364	26
4440372.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	62959	9
4440373.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	61356	2
4440374.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	39340	26
4440375.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	39036	9
4440376.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	39270	18
4440377.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	34433	39
4440378.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	65191	0
4440379.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	67994	6
4440380.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	53473	6
4440381.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Hawaii Institute of Marine Biology	65008	7
4440411.3	freshwater	freshwater	freshwater	water	prebead pond at Kent SeaTech, Salton Sea, CA	44094	30
4440412.3	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	60319	0
4440413.3	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	63978	13
4440414.3	freshwater	freshwater	freshwater	water	prebead pond at Kent SeaTech, Salton Sea, CA	67988	1
4440416.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	8062	0
4440417.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	55903	0
4440419.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	35446	1
4440420.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	62685	0
4440421.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	154167	1
4440422.3	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	67612	9
4440423.3	freshwater	freshwater	freshwater	unknown	unknown	381076	228
4440424.3	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	57134	0
4440425.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	120987	1
4440426.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	34296	0
4440427.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	39943	0
4440428.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	58735	0
4440429.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	39553	1
4440430.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	78524	4
4440431.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	39578	0
4440432.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	110511	0
4440433.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	123879	2
4440434.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	23261	0
4440435.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	38929	1
4440436.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	268534	0
4440437.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	268206	8
