id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4440026.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	81716	4
4440036.3	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	159006	0
4440037.3	marine habitat	marine habitat	marine habitat	water	Kingman Atoll	287954	0
4440038.3	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	485680	0
4440039.3	marine habitat	marine habitat	marine habitat	water	Palmyra Atoll	718757	1
4440040.3	marine habitat	marine habitat	marine habitat	water	Palmyra Atoll	878021	8
4440041.3	marine habitat	marine habitat	marine habitat	water	Christmas (Kiritimati) Atoll	382684	0
4440051.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	523848	44
4440052.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	564968	20
4440053.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	965010	3607
4440054.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	unknown	922454	634
4440055.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	95772	20
4440056.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	111672	5
4440059.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	121160	10
4440060.4	marine habitat	marine habitat	marine habitat	unknown	Rio Mesquites	227188	0
4440061.3	marine habitat	marine habitat	marine habitat	unknown	Highborne Cay Island	375074	11
4440062.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	80974	0
4440063.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	90452	1
4440064.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	108196	6
4440065.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	111380	2
4440066.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	152660	9
4440067.3	marine habitat	marine habitat	marine habitat	unknown	Pozas Azules II	592950	11
4440090.3	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	203854	0
4440102.3	marine habitat	marine habitat	marine habitat	water	Tampa Bay, CA	514150	0
4440144.4	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	14351	3
4440145.4	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	78830	1
4440163.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	505846	1
4440164.6	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	183474	0
4440165.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	607479	0
4440166.5	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	221015	0
4440212.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	995999	0
4440213.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	634159	1
4440275.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	1545159	0
4440276.3	marine habitat	marine habitat	marine habitat	water	coastal waters of a fjord close to Bergen, Norway	1607868	1
4440279.3	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	672559	0
4440280.3	marine habitat	marine habitat	marine habitat	water	Fanning (Tabuaeran) Atoll	1253419	6
