id	project	name	bps	sequences	biome	feature	material	environment	sequencing_type	location	mean_seq_length		select	arg_percent
4440026.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep1SDVir20060505	4090704	50909	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	80.353	public		7.85715688778016e-05
4440036.3	Northern Line Islands 	KingLIVir20050821	10283401	94915	marine habitat	marine habitat	marine habitat	water	WGS	Kingman Atoll	108.343	public		0
4440037.3	Northern Line Islands 	KingLIMic20050821	19753735	188445	marine habitat	marine habitat	marine habitat	water	WGS	Kingman Atoll	104.825	public		0
4440038.3	Northern Line Islands 	XmasLIVir20050805	31332362	283390	marine habitat	marine habitat	marine habitat	water	WGS	Christmas (Kiritimati) Atoll	110.563	public		0
4440039.3	Northern Line Islands 	PalmLIMic20050818	37055255	351205	marine habitat	marine habitat	marine habitat	water	WGS	Palmyra Atoll	105.509	public		2.84733987272391e-06
4440040.3	Northern Line Islands 	PalmLIVir20050818	37461045	358983	marine habitat	marine habitat	marine habitat	water	WGS	Palmyra Atoll	104.353	public		2.22851778496475e-05
4440041.3	Northern Line Islands 	XmasLIMic20050805	23693344	227542	marine habitat	marine habitat	marine habitat	water	WGS	Christmas (Kiritimati) Atoll	104.127	public		0
4440051.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep2SDVir20060505	87736215	838932	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	WGS	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	104.581	public		5.2447635803617e-05
4440052.3	Mosquito Metagenome	Mosq1SDVir20060125	34895936	340098	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	102.606	public		5.88065792800899e-05
4440053.3	Mosquito Metagenome	MosqDigSDVir20060606	81923676	810301	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	101.103	public		0.00445143224554826
4440054.3	Mosquito Metagenome	Mosq2SDVir2060606	84803776	810891	animal-associated habitat	animal-associated habitat	animal-associated habitat	unknown	WGS	unknown	104.581	public		0.000781856007774164
4440055.3	Aquacultured Fish (Kent State)	FishHealGutKentSTMic20060504	5076977	51498	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.586	public		0.000388364596683366
4440056.3	Aquacultured Fish (Kent State)	FishMorGutKentSTMic20060504	5956666	60311	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	98.766	public		8.29036162557411e-05
4440059.3	Aquacultured Fish (Kent State)	FishHealSlimKentSTMic20060504	6566476	66066	Small lake biome	animal-associated habitat	bodily fluid	host-associated	WGS	San Diego University, San Diego, California	99.393	public		0.000151363787727424
4440060.4	Microbialites	Rio Mesquites Bacteria	13334570	124694	marine habitat	marine habitat	marine habitat	unknown	WGS	Rio Mesquites	106.938	public		0
